;SWIN;PAR;ATMP
ALB_MS;;;
ALB_RF;MT1_SWIN_1_H_180;MT1_PAR_1_H_180;MT1_ATMP_1_H_200_Avg
ZEG_RF;MT1_SWIN_1_H_180;MT1_PAR_1_H_180;MT1_ATMP_1_H_200_Avg
MOB_X1;;;
MOB_X2;;;
LAW_MS;MT1_SWIN_1_H_180;MT1_PAR_1_H_180;MT1_ATMP_1_H_200_Avg
DEM_NT;MT1_SWIN_1_H_180;MT1_PAR_1_H_180;MT1_ATMP_1_H_200_Avg
ASD_MP;;;
ANK_PT;;;
ZEG_MP;;;
ZEG_PT;;;MT1_ATMP_1_H_200_Avg
ILP_PT;;;
WRW_SR;MT1_SWIN_1_H_180;MT1_PAR_1_H_180;MT1_ATMP_1_H_200_Avg
WRW_OW;;;
ZEG_MOB;;;
BUO_31_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
BPB_31_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
BUW_32_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
BPC_32_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
BRO_43_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
HOH_33_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
HOC_34_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
HWR_34_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
LDH_35_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
BLR_35_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
LDC_36_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
BLO_36_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
AMM_37_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
HWG_37_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
GOI_38_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
POH_39_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
POG_40_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
HOD_41_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
HEH_42_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
HEW_43_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
GOB_44_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
HWN_45_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
HWH_46_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
MOB_01_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
MOB_02_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
MOB_42_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
MOB_21_EC;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
CAM_21_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
ONL_22_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
WIE_41_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
PPA_42_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1
LAW_06_MT;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;TA_2_1_1_1_1